Subject,Movement,Segment,TotalAngleAvgError,TotalEulerAvgError,MeanSquaredError,Standard Deviation
P2,1,RightUpperArm,7.249711136861171,[2.17822865 6.65053472 1.77173958],0.033097052667426644,0.18192595380381174
P2,1,RightForeArm,7.836571640433468,[0.70952712 7.72706511 1.07723144],0.6681322075757073,0.8173935451027904
P2,1,RightHand,5.747899107600914,[1.72570735 5.48032985 0.22608295],0.0015992810278498857,0.039991011838285434
P2,1,LeftShoulder,6.830782965095945,[0.13593488 0.60070013 6.80119783],0.008030185360639314,0.08961130152296257
P2,1,LeftUpperArm,346.14591584250087,[ 0.5260918  13.84391736  0.11096576],0.06756315777080898,0.25992913990318395
P2,1,LeftForeArm,15.851400044006114,[ 3.39837508 14.4156815   5.24995999],0.14220707587350945,0.3771035346871061
P2,1,LeftHand,346.19467448150846,[ 0.35240046 13.78593339  0.50591973],0.011877349417223671,0.1089832529209129
P2,1,RightUpperLeg,7.524006295768446,[2.22080423 4.92691206 5.13737156],0.020243424562203613,0.14227938909836382
P2,1,RightLowerLeg,8.04485932461766,[2.13711156 4.0891961  6.49821875],0.8926233402177287,0.9447874576949721
P2,1,RightFoot,7.131373212899271,[0.42964699 0.49693619 7.09919401],0.0010228780587145374,0.03198246486302357
P2,1,LeftUpperLeg,3.3522870345297453,[0.40576904 1.28358662 3.05327476],0.38348102246999444,0.6192584456186241
P2,1,LeftLowerLeg,10.309291549414553,[2.24889003 2.21444185 9.85578599],0.08461893622448152,0.2908933416640565
P2,1,LeftFoot,2.8492667520152044,[1.44692311 0.35228624 2.42296193],0.004390380299805642,0.06625994491248573
P2,2,Pelvis,8.846174816135733,[1.16794781 0.60758632 8.73629343],0.26032902119986007,0.5102244811843705
P2,2,T8,13.770992276957157,[ 1.0778743   2.76598887 13.3737595 ],1.855956209168753,1.3623348373908497
P2,2,Head,8.685129344942407,[3.2713029  4.1415706  5.14169339],25.210533957768998,5.021009256889395
P2,2,RightShoulder,17.750089485572417,[ 4.96018537  8.519035   14.44067368],4.276903501764176,2.068067576691868
P2,2,RightUpperArm,18.27690617916613,[ 8.08511061 11.29290001  8.12168385],33.77080949735838,5.811265739695473
P2,2,RightForeArm,59.01410889956778,[17.15413588 57.01133395  9.9962874 ],51.57124528900335,7.181312226118799
P2,2,RightHand,5.394026371810113,[1.03184492 5.18213787 0.83451526],0.5724903908532915,0.756630947591553
P2,2,LeftShoulder,8.338216722308987,[6.20309645 2.44450491 4.62187862],7.283963491963726,2.698881896631219
P2,2,LeftUpperArm,341.90798903997376,[ 3.10687834 16.6224153   4.53228037],41.22807833733757,6.420909463412295
P2,2,LeftForeArm,51.47493586855833,[ 7.13969675 50.43130424 10.8279237 ],266.9907672201082,16.339852117449173
P2,2,LeftHand,350.343428990419,[4.74336538 6.73828557 3.48497692],2.3910426267635647,1.5462996561997822
P2,2,RightUpperLeg,3.9935630340819075,[2.011255   3.26796051 0.76329211],2.667518300269445,1.6332538995114767
P2,2,RightLowerLeg,5.565502329193234,[0.72084764 3.65262152 4.03995914],1.3311614809817742,1.1537597154441537
P2,2,RightFoot,6.456295713352779,[0.42493782 0.50823838 6.40717017],0.18105223122011543,0.4255023281018747
P2,2,LeftUpperLeg,5.348627906885108,[1.27472485 1.75048797 4.10987138],17.559859748145197,4.1904486332784465
P2,2,LeftLowerLeg,18.284329943261366,[ 1.28732808  1.26841329 18.16961702],8.000695010254542,2.8285499836938612
P2,2,LeftFoot,2.752824105245726,[1.73381719 0.72819815 1.97144329],0.14291090212618954,0.37803558314818664
P2,3,Pelvis,9.263096563231148,[1.12268328 0.25932564 9.18756534],0.11010282384825111,0.33181745561114034
P2,3,T8,13.016598080440433,[ 0.89268102  2.41973678 12.71644007],3.9955994014852445,1.9988995476224523
P2,3,Head,9.356190365418986,[3.95343152 7.21574482 2.10437797],2.688400045963145,1.639634119541047
P2,3,RightShoulder,16.36801784621324,[ 2.54310317  7.99560857 13.05279339],20.210889312077214,4.495652267700118
P2,3,RightUpperArm,14.272823464356746,[6.94929956 6.49492693 7.37250083],27.018102802382163,5.1978940737939405
P2,3,RightForeArm,35.69301546981259,[11.66677388 33.9071371   6.18614424],822.3560991033082,28.676751892487896
P2,3,RightHand,9.819023449406878,[3.18957729 8.66204726 2.66783407],1.2768090032316533,1.1299597352258413
P2,3,LeftShoulder,9.614447479582898,[5.0426472  1.40318385 7.53258649],5.409283617920237,2.32578666646798
P2,3,LeftUpperArm,344.92027941915785,[ 2.8949706  14.4611966   1.00613605],27.89321064777718,5.281402337237449
P2,3,LeftForeArm,48.25128687266427,[11.29654621 45.65487401 22.90252086],974.6623418022295,31.219582665407774
P2,3,LeftHand,356.61224365308425,[2.88728556 1.26255507 0.7733402 ],0.48964933466919464,0.6997494799349226
P2,3,RightUpperLeg,5.062154859870673,[2.33666754 3.04306201 2.45859209],0.3276511872571709,0.5724082347915436
P2,3,RightLowerLeg,4.39259233551498,[0.32787852 3.77855806 2.0230748 ],1.2013238833821605,1.096049215766409
P2,3,RightFoot,5.710690198447705,[0.39888654 0.64927865 5.64614944],0.19340385265207147,0.4397770488009481
P2,3,LeftUpperLeg,7.006118126015094,[1.60605601 1.72937851 6.24833851],8.872336893908505,2.978646822620719
P2,3,LeftLowerLeg,20.30598381864276,[ 1.66333578  1.51675269 20.15394243],1.829228539802639,1.3524897558956368
P2,3,LeftFoot,3.090157979312215,[1.88481103 0.57190941 2.32731484],0.019883424450180515,0.14100859707897428
P2,4,Pelvis,10.660621271300567,[2.10862577 3.04380934 9.75087939],3.4218452763723484,1.8498230392046555
P2,4,T8,18.608251872370097,[ 1.28934329  6.61285854 17.2966875 ],1.684842833524446,1.298014958898566
P2,4,Head,7.997262177556313,[3.69375013 3.22589505 5.15150853],2.3662207497932197,1.5382524987118402
P2,4,RightShoulder,23.28544657606594,[ 4.53482257  8.00446839 20.87770713],0.6972255976261915,0.8350003578599182
P2,4,RightUpperArm,12.438152640132747,[ 1.90146235 11.82788724  1.90328511],11.169601450599899,3.3420953682682213
P2,4,RightForeArm,12.434212058152731,[ 3.17676077 11.39733269  2.34320559],22.836524498173098,4.7787576312440345
P2,4,RightHand,9.0853294350944,[1.25805127 8.92039349 0.78220543],0.7360666904842936,0.8579432909489377
P2,4,LeftShoulder,11.893040861709848,[ 3.12267893  4.28168588 10.19268735],2.2913444486848507,1.5137187482107932
P2,4,LeftUpperArm,347.9970303207575,[ 2.82777423 10.24823723  4.73250726],51.258797112704265,7.159524922276915
