Subject,Movement,Segment1,Segment2,TotalAngleAvgError,TotalEulerAvgError,MeanSquaredError,Standard Deviation
P2,1,RightUpperArm,RightForeArm,3.2789682852317896,[1289.66037784  837.22248784 1951.021817  ],0.014225831610942354,0.11927209066224316
P2,1,LeftUpperArm,T8,6.490062182980421,[ 430.11268039 3566.87231577 3576.17329464],0.1726952623622195,0.4155661949223246
P2,1,LeftUpperArm,LeftForeArm,7.391646838157328,[3642.98083348  574.20509151 4394.50635371],0.015286027484509176,0.1236366753213187
P2,1,RightForeArm,RightHand,13.475301000703851,[ 1816.7741742  10339.96132069   277.44116944],0.7756755975592945,0.8807244731238564
P2,1,LeftForeArm,LeftHand,6.2802501491671805,[3444.96069564  302.33279761 3475.02443543],0.1866260007869349,0.43200231571941244
P2,1,T8,Pelvis,3.7470608111082666,[ 773.50189971 2810.93727155  169.00025903],0.007255785726322977,0.08518090000888097
P2,1,Pelvis,RightUpperLeg,6.9633491270614565,[1897.76710039 4113.47900706 3078.12589759],0.04678147011705406,0.21629024508066483
P2,1,Pelvis,LeftUpperLeg,6.368445971256447,[ 322.3072633  1582.06084522 4671.78157283],0.1571850535885319,0.3964657029158158
P2,1,RightUpperLeg,RightLowerLeg,2.010363318078735,[ 466.64937866  646.86500393 1237.20215585],0.7023537459889988,0.8380654783422348
P2,1,LeftUpperLeg,LeftLowerLeg,7.103087694486695,[1458.37118202  731.58451699 5298.22193078],0.535738350199802,0.7319414937000102
P2,1,RightLowerLeg,RightFoot,3.670756011894358,[1020.88538375 2552.87951712  672.39296992],0.08677574586721706,0.29457723243186507
P2,1,LeftLowerLeg,LeftFoot,8.572786552523796,[3082.42410694 1699.86485475 5623.40220518],0.13457735364320073,0.3668478617127279
P2,2,Head,T8,13.360063759418482,[13027.03077421  3268.11202421 21199.65775794],2.341013837254506,1.5300372012648928
P2,2,RightUpperArm,T8,15.207978665557198,[13692.81388686 13765.19917006 19825.12351804],37.52266753923504,6.125574874184058
P2,2,RightUpperArm,RightForeArm,50.656478062319245,[ 29907.21940007 100384.72422382  13767.43909507],136.38604123173877,11.678443442160379
P2,2,LeftUpperArm,T8,13.151816635156285,[14683.03288347 12263.83979652 17807.60403648],6.365161801593133,2.5229272287549502
P2,2,LeftUpperArm,LeftForeArm,55.2403113280802,[ 20899.13618292 114284.81947972  39567.00873658],201.87132736982807,14.20814299512178
P2,2,RightForeArm,RightHand,57.044365172947856,[42847.94855582 94841.71922267 54180.86853863],87.66642583128287,9.363035075833203
P2,2,LeftForeArm,LeftHand,54.11987034781992,[32218.18356571 86494.25609608 47905.84874408],107.60602818855592,10.373332549791119
P2,2,T8,Pelvis,6.37906362249273,[6566.06657859 5853.65795169 9621.58362781],1.1577708868803913,1.0759976240124285
P2,2,Pelvis,RightUpperLeg,9.442443309302403,[ 5367.74535009  5579.58221493 18871.89892136],2.2344952532889493,1.4948228166872986
P2,2,Pelvis,LeftUpperLeg,7.268045812862173,[ 1758.65765878  2348.68121745 15349.39595133],7.834157837981765,2.798956562360653
P2,2,RightUpperLeg,RightLowerLeg,4.677002705852512,[3957.36935942 1666.40874011 8951.85645336],4.1440304272512645,2.03568917746577
P2,2,LeftUpperLeg,LeftLowerLeg,14.505531039673524,[ 1334.96638363  1597.12110473 31285.45934798],6.355534816727309,2.521018606977606
P2,2,RightLowerLeg,RightFoot,4.000304733696226,[ 506.96035259 6738.45938365 5188.83493731],0.41031610413093295,0.6405592120412702
P2,2,LeftLowerLeg,LeftFoot,16.39077049877669,[ 2241.39049487  3204.26180358 35196.00518538],7.91128311103751,2.8127003237169634
P2,3,Head,T8,14.047097165691717,[ 7346.85554655  8377.05551256 18037.72174021],4.735782903302534,2.1761854018678037
P2,3,RightUpperArm,T8,17.8250418872257,[15586.63711574  8657.78000394 19680.64332631],58.82853803657691,7.6699764039126554
